method,dataset,dim,peak_memory_mb,vec_size,ef_search,qps,n_cmp,recall@1,recall@10,recall@100,recall@1000
original,sift,128,1104,512,10,93453.6,601,0.8446,0.777584,0.50634,0.184339
original,sift,128,1171,512,20,61275.4,914,0.9319,0.891138,0.671468,0.2794
original,sift,128,1190,512,30,60040,1230,0.9598,0.936322,0.767708,0.356188
original,sift,128,1197,512,40,40507.9,1551,0.9725,0.958747,0.829451,0.421219
original,sift,128,1201,512,50,35184.2,1875,0.9801,0.971668,0.871147,0.476833
original,sift,128,1201,512,60,41725.6,2201,0.9842,0.979849,0.900387,0.525001
original,sift,128,1203,512,70,21518,2529,0.9873,0.985289,0.921365,0.567053
original,sift,128,1203,512,80,23510.8,2858,0.9894,0.988829,0.937228,0.604123
original,sift,128,1203,512,90,29424.8,3186,0.9905,0.991069,0.948903,0.636862
original,sift,128,1203,512,100,25798,3514,0.9909,0.99274,0.957852,0.665962
original,sift,128,1203,512,110,25634.6,3843,0.9915,0.99386,0.964654,0.692192
original,sift,128,1203,512,120,24264.7,4172,0.9922,0.99474,0.970223,0.715721
original,sift,128,1203,512,130,22819.8,4501,0.9925,0.99547,0.974703,0.737013
original,sift,128,1203,512,140,21440.3,4831,0.9928,0.996071,0.97832,0.756281
original,sift,128,1203,512,150,14192,5160,0.9931,0.99645,0.981179,0.773708
original,sift,128,1203,512,160,11141.8,5489,0.9932,0.996831,0.983585,0.789575
original,sift,128,1203,512,170,18321.9,5818,0.9934,0.99726,0.985622,0.804045
original,sift,128,1205,512,180,13028.8,6148,0.9936,0.99753,0.987287,0.817379
original,sift,128,1205,512,190,15555.9,6477,0.9937,0.99781,0.988763,0.829558
original,sift,128,1205,512,200,15340.6,6807,0.9939,0.998061,0.990049,0.840765
original,word2vec,300,1592,1200,10,32233.7,499,0.292,0.2817,0.1968,0.073847
original,word2vec,300,1597,1200,20,54210.1,724,0.389,0.391,0.29478,0.115572
original,word2vec,300,1600,1200,30,40131.8,924,0.453,0.4539,0.3587,0.148
original,word2vec,300,1601,1200,40,33008.6,1105,0.493,0.4951,0.40156,0.174519
original,word2vec,300,1603,1200,50,27884.9,1284,0.526,0.5318,0.44002,0.198738
original,word2vec,300,1607,1200,60,19394.8,1460,0.558,0.5566,0.4695,0.22046
original,word2vec,300,1608,1200,70,21236.3,1626,0.574,0.5745,0.49245,0.239664
original,word2vec,300,1609,1200,80,14582.9,1793,0.588,0.5897,0.51224,0.257998
original,word2vec,300,1609,1200,90,19839.9,1957,0.601,0.6059,0.53155,0.275429
original,word2vec,300,1609,1200,100,14750.5,2114,0.615,0.6179,0.54616,0.29062
original,word2vec,300,1609,1200,110,13986.3,2275,0.628,0.6314,0.56123,0.305998
original,word2vec,300,1609,1200,120,13068.7,2431,0.639,0.6406,0.57262,0.319678
original,word2vec,300,1609,1200,130,11881.2,2589,0.648,0.6521,0.58455,0.332999
original,word2vec,300,1610,1200,140,14490,2752,0.658,0.6631,0.59728,0.347153
original,word2vec,300,1610,1200,150,19140.8,2908,0.665,0.6694,0.60621,0.358668
original,word2vec,300,1610,1200,160,18176.2,3069,0.676,0.679,0.61802,0.371566
original,word2vec,300,1610,1200,170,17430.9,3221,0.684,0.6851,0.62587,0.382043
original,word2vec,300,1610,1200,180,16762.6,3373,0.689,0.6907,0.633,0.392074
original,word2vec,300,1610,1200,190,16050.8,3528,0.695,0.6964,0.64025,0.402232
original,word2vec,300,1610,1200,200,15514.6,3676,0.703,0.703199,0.64705,0.411873
original,msong,420,2040,1680,10,29054.5,500,0.973,0.906602,0.59043,0.188158
original,msong,420,2041,1680,20,35851.7,777,0.993,0.954401,0.74901,0.289318
original,msong,420,2044,1680,30,25783.7,1060,0.996,0.974001,0.83521,0.371233
original,msong,420,2048,1680,40,20661.5,1349,0.997,0.983401,0.885519,0.439792
original,msong,420,2052,1680,50,17579.9,1639,0.997,0.9889,0.916528,0.497501
original,msong,420,2055,1680,60,13326.5,1927,0.997,0.992,0.937058,0.546185
original,msong,420,2055,1680,70,11794.7,2217,0.997,0.9937,0.950878,0.589157
original,msong,420,2055,1680,80,11278.8,2508,0.997,0.9948,0.961217,0.626632
original,msong,420,2056,1680,90,8117.93,2800,0.997,0.9953,0.967897,0.659142
original,msong,420,2056,1680,100,10665.2,3090,0.997,0.9963,0.973247,0.688099
original,msong,420,2056,1680,110,11070,3379,0.997,0.9966,0.977057,0.71397
original,msong,420,2056,1680,120,11795.3,3670,0.997,0.997,0.980528,0.73715
original,msong,420,2056,1680,130,11012.6,3959,0.997,0.9972,0.982958,0.757624
original,msong,420,2056,1680,140,10281.2,4249,0.997,0.9974,0.985058,0.776038
original,msong,420,2056,1680,150,12752.7,4536,0.997,0.9976,0.986718,0.792334
original,msong,420,2056,1680,160,13939.1,4824,0.997,0.9978,0.988158,0.807239
original,msong,420,2056,1680,170,10601.8,5112,0.997,0.998,0.989398,0.820657
original,msong,420,2056,1680,180,10412.1,5398,0.997,0.9981,0.990468,0.833368
original,msong,420,2056,1680,190,10044.1,5688,0.997,0.9981,0.991328,0.844681
original,msong,420,2057,1680,200,11354.1,5976,0.997,0.9981,0.992008,0.855115
original,gist,960,4115,3840,10,4752.06,703,0.558,0.4944,0.31895,0.137171
original,gist,960,4123,3840,20,9812.4,1070,0.694,0.6312,0.44788,0.209755
original,gist,960,4127,3840,30,7542.88,1417,0.773,0.7115,0.5358,0.267492
original,gist,960,4129,3840,40,6070.78,1747,0.824,0.763801,0.59939,0.316008
original,gist,960,4129,3840,50,3890.09,2081,0.852,0.796201,0.64898,0.358536
original,gist,960,4129,3840,60,4217.73,2419,0.877,0.825701,0.68907,0.396883
original,gist,960,4129,3840,70,4853.45,2755,0.89,0.844801,0.72112,0.430952
original,gist,960,4129,3840,80,4895.03,3098,0.903,0.863401,0.74891,0.462461
original,gist,960,4130,3840,90,4955.11,3432,0.914,0.877801,0.77253,0.490725
original,gist,960,4130,3840,100,4682.33,3768,0.917,0.889901,0.79138,0.516563
original,gist,960,4130,3840,110,3048.07,4107,0.925,0.899901,0.80803,0.539929
original,gist,960,4130,3840,120,2941.3,4441,0.933,0.910501,0.8228,0.561365
original,gist,960,4131,3840,130,2516.92,4773,0.937,0.918201,0.836039,0.581241
original,gist,960,4131,3840,140,3443.23,5107,0.943,0.925801,0.847529,0.599656
original,gist,960,4131,3840,150,3859.78,5436,0.947,0.930901,0.857059,0.616416
original,gist,960,4131,3840,160,3791.92,5767,0.949,0.935702,0.86607,0.632164
original,gist,960,4132,3840,170,2809.5,6099,0.955,0.941002,0.874019,0.646947
original,gist,960,4132,3840,180,3077.97,6429,0.958,0.944802,0.88141,0.660791
original,gist,960,4132,3840,190,2729.21,6757,0.96,0.948302,0.88793,0.673791
original,gist,960,4132,3840,200,2623.39,7093,0.962,0.950901,0.894279,0.686177
original,youtube,1024,4575,4096,10,27601.8,661,0.524,0.510399,0.358907,0.130534
original,youtube,1024,4623,4096,20,19180.6,955,0.6372,0.631195,0.492406,0.192615
original,youtube,1024,4642,4096,30,16534,1221,0.6858,0.685174,0.570093,0.240105
original,youtube,1024,4648,4096,40,16067.3,1484,0.7208,0.722423,0.625856,0.281215
original,youtube,1024,4652,4096,50,15131.9,1740,0.7418,0.745183,0.663829,0.316512
original,youtube,1024,4653,4096,60,16089.5,1996,0.759,0.763712,0.69353,0.348003
original,youtube,1024,4654,4096,70,16182.5,2252,0.773,0.778701,0.717109,0.376493
original,youtube,1024,4655,4096,80,14432.5,2506,0.7831,0.789432,0.735416,0.402157
original,youtube,1024,4655,4096,90,9740.6,2762,0.7909,0.798641,0.750614,0.425751
original,youtube,1024,4656,4096,100,9153.44,3016,0.7987,0.80718,0.763669,0.447504
original,youtube,1024,4656,4096,110,8307.91,3271,0.8049,0.814279,0.774908,0.467735
original,youtube,1024,4656,4096,120,6970.67,3525,0.8103,0.820049,0.784229,0.486471
original,youtube,1024,4657,4096,130,4676.79,3780,0.8153,0.825249,0.792495,0.504078
original,youtube,1024,4657,4096,140,4965.03,4036,0.8206,0.830289,0.799787,0.520504
original,youtube,1024,4657,4096,150,4460.36,4292,0.8251,0.834349,0.806136,0.536099
original,youtube,1024,4658,4096,160,6158.93,4547,0.8283,0.837699,0.811487,0.550369
original,youtube,1024,4658,4096,170,5101.07,4801,0.8312,0.840939,0.816585,0.563859
original,youtube,1024,4658,4096,180,4239.58,5056,0.8347,0.84454,0.821314,0.576606
original,youtube,1024,4658,4096,190,3748.65,5311,0.8373,0.84741,0.825515,0.588604
original,youtube,1024,4658,4096,200,3416.82,5567,0.8399,0.8501,0.829463,0.600073
original,openai,1536,6483,6144,10,7757.91,709,0.8579,0.832403,0.551777,0.189221
original,openai,1536,6553,6144,20,4225.86,1086,0.9238,0.915731,0.716832,0.284397
original,openai,1536,6564,6144,30,7679.82,1463,0.9464,0.945946,0.805722,0.35905
original,openai,1536,6565,6144,40,7204.39,1845,0.9574,0.961338,0.858913,0.420428
original,openai,1536,6566,6144,50,6421.3,2229,0.9669,0.971119,0.893324,0.472285
original,openai,1536,6566,6144,60,5306.45,2613,0.9717,0.976369,0.915782,0.516517
original,openai,1536,6566,6144,70,5228.24,2999,0.9762,0.9801,0.931452,0.554856
original,openai,1536,6566,6144,80,5012.17,3388,0.9795,0.98326,0.943493,0.588782
original,openai,1536,6567,6144,90,4710.03,3776,0.9811,0.98532,0.952336,0.618527
original,openai,1536,6567,6144,100,3847.55,4165,0.9832,0.98715,0.959281,0.64509
original,openai,1536,6567,6144,110,3433.7,4556,0.9845,0.98844,0.964828,0.66894
original,openai,1536,6567,6144,120,3513.25,4946,0.9859,0.98952,0.96915,0.690364
original,openai,1536,6568,6144,130,3822.03,5336,0.9873,0.99045,0.972648,0.709646
original,openai,1536,6568,6144,140,3581.33,5727,0.9885,0.99134,0.975596,0.727213
original,openai,1536,6568,6144,150,3202.64,6119,0.9898,0.99195,0.978059,0.743223
original,openai,1536,6569,6144,160,2958.85,6510,0.9905,0.99263,0.980295,0.7579
original,openai,1536,6569,6144,170,2925.98,6902,0.9911,0.99316,0.98212,0.771313
original,openai,1536,6569,6144,180,2727.87,7295,0.9922,0.99363,0.983731,0.783697
original,openai,1536,6569,6144,190,2235.26,7687,0.9927,0.994,0.985047,0.795039
original,openai,1536,6569,6144,200,1486.32,8080,0.9929,0.99421,0.986203,0.80547
original,openai,3072,12346,12288,10,6939.44,707,0.8514,0.832276,0.549446,0.187931
original,openai,3072,12414,12288,20,1374.41,1085,0.9178,0.915864,0.714526,0.282274
original,openai,3072,12423,12288,30,2870.3,1462,0.9457,0.947766,0.803936,0.356191
original,openai,3072,12425,12288,40,2611.55,1840,0.9579,0.961777,0.857592,0.416923
original,openai,3072,12425,12288,50,2369.03,2221,0.9648,0.970857,0.892261,0.468622
original,openai,3072,12425,12288,60,2486.59,2604,0.9696,0.975998,0.915459,0.513118
original,openai,3072,12426,12288,70,2384.1,2989,0.9748,0.980048,0.931986,0.551935
original,openai,3072,12426,12288,80,1778.35,3376,0.9772,0.983008,0.944167,0.586018
original,openai,3072,12426,12288,90,1695.9,3763,0.9797,0.985339,0.953399,0.61624
original,openai,3072,12426,12288,100,1662.02,4150,0.9814,0.986589,0.96018,0.642929
original,openai,3072,12426,12288,110,1586.92,4540,0.9833,0.988079,0.965721,0.667021
original,openai,3072,12426,12288,120,1587.2,4928,0.9856,0.989369,0.97025,0.68869
original,openai,3072,12427,12288,130,1452.21,5318,0.9874,0.990359,0.973832,0.7083
original,openai,3072,12427,12288,140,1335.47,5706,0.989,0.99133,0.976777,0.725994
original,openai,3072,12427,12288,150,1274.58,6096,0.9901,0.99236,0.979288,0.742104
original,openai,3072,12428,12288,160,1237.56,6486,0.9906,0.99297,0.981385,0.756857
original,openai,3072,12428,12288,170,1314.28,6876,0.9913,0.99355,0.983095,0.770508
original,openai,3072,12428,12288,180,1423.71,7266,0.9922,0.9942,0.984768,0.783124
original,openai,3072,12428,12288,190,871.455,7656,0.9928,0.99445,0.986023,0.794632
original,openai,3072,12428,12288,200,483.564,8047,0.9934,0.99479,0.98723,0.8053
RabitQ,sift,128,2383,48,10,20941.7,604,0.7244,0.734062,0.504427,0.18408
RabitQ,sift,128,2453,48,20,13981.2,917,0.7842,0.813827,0.666953,0.278808
RabitQ,sift,128,2473,48,30,13369.7,1233,0.8024,0.840995,0.755973,0.355335
RabitQ,sift,128,2477,48,40,12137.6,1554,0.8101,0.852435,0.807125,0.420184
RabitQ,sift,128,2480,48,50,10972.7,1878,0.8146,0.858715,0.837379,0.475724
RabitQ,sift,128,2480,48,60,9550.43,2204,0.8165,0.862454,0.856507,0.523758
RabitQ,sift,128,2481,48,70,8505.88,2530,0.8178,0.864624,0.868751,0.565648
RabitQ,sift,128,2481,48,80,7752.2,2858,0.8189,0.866064,0.877123,0.602552
RabitQ,sift,128,2481,48,90,7021.04,3186,0.8196,0.866994,0.883143,0.635332
RabitQ,sift,128,2482,48,100,6367.24,3515,0.8197,0.867614,0.887349,0.664357
RabitQ,sift,128,2482,48,110,6007.99,3845,0.8203,0.867964,0.890569,0.690458
RabitQ,sift,128,2482,48,120,6473.66,4174,0.8206,0.868284,0.89311,0.713904
RabitQ,sift,128,2482,48,130,6807.7,4503,0.8208,0.868593,0.894996,0.734754
RabitQ,sift,128,2482,48,140,5443.25,4832,0.821,0.868733,0.89654,0.753493
RabitQ,sift,128,2482,48,150,5223.7,5161,0.8212,0.868913,0.89768,0.770205
RabitQ,sift,128,2483,48,160,4766.1,5491,0.8212,0.869074,0.898594,0.785139
RabitQ,sift,128,2483,48,170,4295.79,5820,0.8212,0.869193,0.899333,0.798606
RabitQ,sift,128,2483,48,180,4562.19,6149,0.8214,0.869283,0.899917,0.810516
RabitQ,sift,128,2483,48,190,4602.64,6478,0.8214,0.869354,0.90043,0.821213
RabitQ,sift,128,2483,48,200,4799.24,6808,0.8214,0.869394,0.900896,0.8308
RabitQ,sift,128,2397,64,10,18802.8,602,0.7802,0.75968,0.505921,0.184357
RabitQ,sift,128,2468,64,20,15008.4,915,0.848,0.854554,0.670627,0.279246
RabitQ,sift,128,2485,64,30,16087.3,1230,0.8723,0.888006,0.765407,0.355907
RabitQ,sift,128,2489,64,40,12807.1,1551,0.8815,0.903759,0.823895,0.420899
RabitQ,sift,128,2495,64,50,13397.3,1875,0.8869,0.912031,0.861503,0.476511
RabitQ,sift,128,2495,64,60,12206.8,2201,0.8896,0.917332,0.885565,0.524564
RabitQ,sift,128,2495,64,70,8283.74,2529,0.8918,0.920853,0.901791,0.566639
RabitQ,sift,128,2496,64,80,7381.39,2858,0.8941,0.922894,0.913106,0.603597
original,sift,128,1094,512,10,51354.3,601,0.8446,0.777584,0.50634,0.184339
RabitQ,sift,128,2496,64,90,7563.9,3186,0.8943,0.924144,0.921108,0.636486
original,sift,128,1170,512,20,50718.1,914,0.9319,0.891138,0.671468,0.2794
RabitQ,sift,128,2496,64,100,7627.32,3514,0.8955,0.925064,0.926715,0.665704
original,sift,128,1191,512,30,31944.7,1230,0.9598,0.936322,0.767708,0.356188
original,sift,128,1198,512,40,26482.9,1551,0.9725,0.958747,0.829451,0.421219
RabitQ,sift,128,2496,64,110,7302.31,3843,0.896,0.925644,0.930905,0.691872
original,sift,128,1201,512,50,40123.5,1875,0.9801,0.971668,0.871147,0.476833
RabitQ,sift,128,2496,64,120,7065.14,4172,0.8962,0.926135,0.934013,0.715335
original,sift,128,1202,512,60,41076.7,2201,0.9842,0.979849,0.900387,0.525001
RabitQ,sift,128,2496,64,130,6383.88,4501,0.8962,0.926455,0.936555,0.736584
original,sift,128,1203,512,70,31253.8,2529,0.9873,0.985289,0.921365,0.567053
RabitQ,sift,128,2497,64,140,5569.4,4831,0.8965,0.926735,0.938573,0.755746
original,sift,128,1203,512,80,24492.5,2858,0.9894,0.988829,0.937228,0.604123
original,sift,128,1203,512,90,23517.7,3186,0.9905,0.991069,0.948903,0.636862
RabitQ,sift,128,2497,64,150,5595.23,5160,0.8966,0.926975,0.940145,0.773265
original,sift,128,1203,512,100,25706.5,3514,0.9909,0.99274,0.957852,0.665962
RabitQ,sift,128,2497,64,160,5702.04,5489,0.8968,0.927175,0.941353,0.789101
original,sift,128,1203,512,110,19690.6,3843,0.9915,0.99386,0.964654,0.692192
RabitQ,sift,128,2497,64,170,5308.45,5819,0.8972,0.927396,0.942418,0.803602
original,sift,128,1204,512,120,22365.6,4172,0.9922,0.99474,0.970223,0.715721
original,sift,128,1204,512,130,18169.8,4501,0.9925,0.99547,0.974703,0.737013
RabitQ,sift,128,2497,64,180,4912.14,6148,0.8973,0.927506,0.943228,0.816709
original,sift,128,1204,512,140,21653,4831,0.9928,0.996071,0.97832,0.756281
RabitQ,sift,128,2498,64,190,4848.93,6478,0.8975,0.927626,0.943937,0.828709
original,sift,128,1204,512,150,19851.3,5160,0.9931,0.99645,0.981179,0.773708
RabitQ,sift,128,2498,64,200,4617.55,6806,0.8975,0.927736,0.944547,0.839581
original,sift,128,1204,512,160,18099,5489,0.9932,0.996831,0.983585,0.789575
original,sift,128,1205,512,170,13782.7,5818,0.9934,0.99726,0.985622,0.804045
original,sift,128,1205,512,180,12126.6,6148,0.9936,0.99753,0.987287,0.817379
RabitQ,sift,128,2412,80,10,13010.6,602,0.8102,0.77139,0.50696,0.184691
original,sift,128,1205,512,190,16061,6477,0.9937,0.99781,0.988763,0.829558
RabitQ,sift,128,2483,80,20,19609.3,915,0.8903,0.874901,0.671276,0.279384
RabitQ,sift,128,2504,80,30,12980.1,1230,0.9146,0.913716,0.767511,0.356234
original,sift,128,1205,512,200,13481.6,6807,0.9939,0.998061,0.990049,0.840765
original,word2vec,300,1591,1200,10,20685.6,499,0.292,0.2817,0.1968,0.073847
RabitQ,sift,128,2508,80,40,15924.8,1551,0.9256,0.93198,0.828455,0.421183
original,word2vec,300,1594,1200,20,25762,724,0.389,0.391,0.29478,0.115572
original,word2vec,300,1598,1200,30,18218.8,924,0.453,0.4539,0.3587,0.148
original,word2vec,300,1599,1200,40,24964.4,1105,0.493,0.4951,0.40156,0.174519
original,word2vec,300,1601,1200,50,28749.6,1284,0.526,0.5318,0.44002,0.198738
original,word2vec,300,1607,1200,60,13927,1460,0.558,0.5566,0.4695,0.22046
original,word2vec,300,1608,1200,70,9895.84,1626,0.574,0.5745,0.49245,0.239664
original,word2vec,300,1608,1200,80,8329.16,1793,0.588,0.5897,0.51224,0.257998
original,word2vec,300,1609,1200,90,8833.94,1957,0.601,0.6059,0.53155,0.275429
original,word2vec,300,1609,1200,100,9285.84,2114,0.615,0.6179,0.54616,0.29062
original,word2vec,300,1609,1200,110,10840.8,2275,0.628,0.6314,0.56123,0.305998
RabitQ,sift,128,2510,80,50,12610.9,1876,0.9333,0.942021,0.869139,0.476951
original,word2vec,300,1609,1200,120,12356.5,2431,0.639,0.6406,0.57262,0.319678
original,word2vec,300,1609,1200,130,8608.67,2589,0.648,0.6521,0.58455,0.332999
original,word2vec,300,1610,1200,140,8986.84,2752,0.658,0.6631,0.59728,0.347153
original,word2vec,300,1610,1200,150,13285.9,2908,0.665,0.6694,0.60621,0.358668
original,word2vec,300,1610,1200,160,13431.8,3069,0.676,0.679,0.61802,0.371566
original,word2vec,300,1610,1200,170,12917.5,3221,0.684,0.6851,0.62587,0.382043
original,word2vec,300,1610,1200,180,12388,3373,0.689,0.6907,0.633,0.392074
original,word2vec,300,1610,1200,190,11924.5,3528,0.695,0.6964,0.64025,0.402232
original,word2vec,300,1610,1200,200,11426.5,3676,0.703,0.703199,0.64705,0.411873
RabitQ,sift,128,2511,80,60,11408.3,2201,0.9363,0.947914,0.896342,0.524862
original,msong,420,2039,1680,10,21876.8,500,0.973,0.906602,0.59043,0.188158
original,msong,420,2041,1680,20,34225.1,777,0.993,0.954401,0.74901,0.289318
original,msong,420,2043,1680,30,31648.2,1060,0.996,0.974001,0.83521,0.371233
original,msong,420,2047,1680,40,25471.5,1349,0.997,0.983401,0.885519,0.439792
RabitQ,sift,128,2512,80,70,8609.8,2529,0.9387,0.951795,0.915323,0.566918
original,msong,420,2051,1680,50,23781,1639,0.997,0.9889,0.916528,0.497501
original,msong,420,2055,1680,60,10430.8,1927,0.997,0.992,0.937058,0.546185
original,msong,420,2055,1680,70,6332.63,2217,0.997,0.9937,0.950878,0.589157
original,msong,420,2055,1680,80,5580.93,2508,0.997,0.9948,0.961217,0.626632
original,msong,420,2056,1680,90,9844.36,2800,0.997,0.9953,0.967897,0.659142
original,msong,420,2056,1680,100,9787.72,3090,0.997,0.9963,0.973247,0.688099
original,msong,420,2056,1680,110,11092.8,3379,0.997,0.9966,0.977057,0.71397
original,msong,420,2056,1680,120,10026.4,3670,0.997,0.997,0.980528,0.73715
original,msong,420,2056,1680,130,9954,3959,0.997,0.9972,0.982958,0.757624
original,msong,420,2056,1680,140,9393.42,4249,0.997,0.9974,0.985058,0.776038
RabitQ,sift,128,2512,80,80,9245.48,2857,0.9412,0.954346,0.92894,0.603967
original,msong,420,2056,1680,150,8970.13,4536,0.997,0.9976,0.986718,0.792334
original,msong,420,2056,1680,160,6810.73,4824,0.997,0.9978,0.988158,0.807239
original,msong,420,2056,1680,170,8283.9,5112,0.997,0.998,0.989398,0.820657
original,msong,420,2057,1680,180,5308.95,5398,0.997,0.9981,0.990468,0.833368
original,msong,420,2057,1680,190,5511.73,5688,0.997,0.9981,0.991328,0.844681
original,msong,420,2057,1680,200,6993.49,5976,0.997,0.9981,0.992008,0.855115
RabitQ,sift,128,2512,80,90,8708.7,3186,0.9421,0.955756,0.938596,0.636801
original,gist,960,4116,3840,10,10419.9,703,0.558,0.4944,0.31895,0.137171
original,gist,960,4125,3840,20,18968.2,1070,0.694,0.6312,0.44788,0.209755
RabitQ,sift,128,2512,80,100,7540.82,3514,0.9425,0.957017,0.94557,0.665948
original,gist,960,4127,3840,30,13344.7,1417,0.773,0.7115,0.5358,0.267492
original,gist,960,4127,3840,40,6275.03,1747,0.824,0.763801,0.59939,0.316008
original,gist,960,4129,3840,50,3514.11,2081,0.852,0.796201,0.64898,0.358536
original,gist,960,4129,3840,60,4892.89,2419,0.877,0.825701,0.68907,0.396883
original,gist,960,4129,3840,70,6543.67,2755,0.89,0.844801,0.72112,0.430952
original,gist,960,4129,3840,80,6926.56,3098,0.903,0.863401,0.74891,0.462461
original,gist,960,4130,3840,90,5401.42,3432,0.914,0.877801,0.77253,0.490725
original,gist,960,4130,3840,100,5955.73,3768,0.917,0.889901,0.79138,0.516563
original,gist,960,4130,3840,110,5490.49,4107,0.925,0.899901,0.80803,0.539929
RabitQ,sift,128,2512,80,110,7061.04,3843,0.9429,0.957897,0.950746,0.69206
original,gist,960,4130,3840,120,5353.66,4441,0.933,0.910501,0.8228,0.561365
original,gist,960,4130,3840,130,2888.03,4773,0.937,0.918201,0.836039,0.581241
original,gist,960,4131,3840,140,2469.87,5107,0.943,0.925801,0.847529,0.599656
original,gist,960,4131,3840,150,3880.22,5436,0.947,0.930901,0.857059,0.616416
original,gist,960,4131,3840,160,3907.74,5767,0.949,0.935702,0.86607,0.632164
original,gist,960,4132,3840,170,3481.56,6099,0.955,0.941002,0.874019,0.646947
original,gist,960,4132,3840,180,3187.66,6429,0.958,0.944802,0.88141,0.660791
original,gist,960,4132,3840,190,2845.63,6757,0.96,0.948302,0.88793,0.673791
RabitQ,sift,128,2513,80,120,6197.33,4172,0.9431,0.958498,0.954831,0.715581
original,gist,960,4132,3840,200,2667.45,7093,0.962,0.950901,0.894279,0.686177
RabitQ,sift,128,2513,80,130,6787.28,4501,0.943,0.958868,0.958085,0.736938
SQ,sift,128,1103,64,10,46351,599,0.6774,0.70049,0.505961,0.1856
original,youtube,1024,4570,4096,10,24979.4,661,0.524,0.510399,0.358907,0.130534
RabitQ,sift,128,2513,80,140,5050.31,4830,0.9434,0.959258,0.960513,0.756118
SQ,sift,128,1170,64,20,40335,910,0.7304,0.771471,0.661793,0.280667
original,youtube,1024,4623,4096,20,8680.39,955,0.6372,0.631195,0.492406,0.192615
RabitQ,sift,128,2513,80,150,6010.84,5160,0.9436,0.959638,0.962486,0.773538
SQ,sift,128,1191,64,30,39624.8,1222,0.7473,0.794395,0.739343,0.357165
original,youtube,1024,4643,4096,30,13346.8,1221,0.6858,0.685174,0.570093,0.240105
RabitQ,sift,128,2513,80,160,5394.41,5489,0.944,0.959929,0.964073,0.789384
SQ,sift,128,1196,64,40,46032.6,1539,0.7546,0.805552,0.781306,0.421874
original,youtube,1024,4648,4096,40,17886,1484,0.7208,0.722423,0.625856,0.281215
SQ,sift,128,1198,64,50,34020,1861,0.7589,0.81121,0.805774,0.477394
RabitQ,sift,128,2514,80,170,5164.88,5818,0.9442,0.960209,0.965418,0.803919
original,youtube,1024,4652,4096,50,10919.8,1740,0.7418,0.745183,0.663829,0.316512
SQ,sift,128,1202,64,60,44271.6,2185,0.7623,0.814548,0.820824,0.525537
RabitQ,sift,128,2514,80,180,4530.31,6147,0.9444,0.960329,0.966444,0.817267
original,youtube,1024,4653,4096,60,5964.91,1996,0.759,0.763712,0.69353,0.348003
SQ,sift,128,1202,64,70,39205.6,2508,0.7639,0.816558,0.830655,0.567369
original,youtube,1024,4654,4096,70,6569.54,2252,0.773,0.778701,0.717109,0.376493
RabitQ,sift,128,2514,80,190,4135.93,6477,0.9445,0.960529,0.967314,0.82944
SQ,sift,128,1203,64,80,29474.2,2833,0.7653,0.817727,0.837477,0.604089
original,youtube,1024,4654,4096,80,6453.73,2506,0.7831,0.789432,0.735416,0.402157
SQ,sift,128,1203,64,90,12461.9,3159,0.7664,0.818677,0.842236,0.636698
RabitQ,sift,128,2514,80,200,4046.24,6806,0.9445,0.960589,0.96809,0.840574
SQ,sift,128,1203,64,100,15268.7,3486,0.7666,0.819287,0.845554,0.665425
original,youtube,1024,4655,4096,90,6149.58,2762,0.7909,0.798641,0.750614,0.425751
SQ,sift,128,1204,64,110,19380.2,3812,0.767,0.819867,0.848184,0.690715
original,youtube,1024,4655,4096,100,5366.87,3016,0.7987,0.80718,0.763669,0.447504
SQ,sift,128,1204,64,120,18105.3,4139,0.7675,0.820317,0.850331,0.713048
original,youtube,1024,4656,4096,110,4723.35,3271,0.8049,0.814279,0.774908,0.467735
SQ,sift,128,1204,64,130,10736.6,4465,0.7678,0.820557,0.851947,0.732594
RabitQ,sift,128,2444,112,10,12493.3,602,0.8373,0.776183,0.506531,0.184428
RabitQ,sift,128,2514,112,20,7160.12,915,0.9229,0.887267,0.671462,0.279475
SQ,sift,128,1204,64,140,11629.9,4792,0.7679,0.820797,0.853219,0.749704
original,youtube,1024,4656,4096,120,5358.28,3525,0.8103,0.820049,0.784229,0.486471
RabitQ,sift,128,2534,112,30,16109.9,1230,0.949,0.930451,0.767743,0.356269
SQ,sift,128,1204,64,150,13158.3,5118,0.7678,0.821036,0.854198,0.764787
original,youtube,1024,4656,4096,130,4429.03,3780,0.8153,0.825249,0.792495,0.504078
RabitQ,sift,128,2539,112,40,11067.6,1551,0.9615,0.952245,0.829379,0.421231
SQ,sift,128,1204,64,160,17823.1,5446,0.7679,0.821157,0.854964,0.778015
original,youtube,1024,4657,4096,140,4248.76,4036,0.8206,0.830289,0.799787,0.520504
RabitQ,sift,128,2540,112,50,13159.2,1876,0.9693,0.964477,0.871031,0.476887
SQ,sift,128,1205,64,170,18763.8,5772,0.7679,0.821257,0.855614,0.789551
RabitQ,sift,128,2541,112,60,6292.21,2202,0.973,0.971958,0.900187,0.525073
SQ,sift,128,1205,64,180,13628.9,6098,0.7682,0.821366,0.856134,0.799684
original,youtube,1024,4657,4096,150,4016.92,4292,0.8251,0.834349,0.806136,0.536099
RabitQ,sift,128,2542,112,70,8026.35,2529,0.9757,0.976919,0.920823,0.567062
